receipt_id,name,quantity,unit_price,line_price,category
0,Nasi Campur Bali,1.0,,75000.0,Original Hugarian 
0,Bbk Bengil Nasi,1.0,,125000.0,Original Hugarian 
0,MilkShake Starwb,1.0,,37000.0,TWIST DONUT
0,Ice Lemon Tea,1.0,,24000.0,ICED TEA
0,Nasi Ayam Dewata,1.0,,70000.0,autre
0,Free Ice Tea,3.0,,0.0,ICED TEA
0,Organic Green Sa,1.0,,65000.0,autre
0,Ice Tea,1.0,,18000.0,ICED TEA
0,Ice Orange,1.0,,29000.0,ICED TEA
0,Ayam Suir Bali,1.0,,85000.0,GONG GIBAB
0,Tahu Goreng,2.0,,36000.0,Original Hugarian 
0,Tempe Goreng,2.0,,36000.0,NASI PUTIH
0,Tahu Telor Asin,1.0,,40000.0,Original Hugarian 
0,Nasi Goreng Samb,1.0,,70000.0,Original Hugarian 
0,Bbk Panggang Sam,3.0,,366000.0,Original Hugarian 
0,Ayam Sambal Hija,1.0,,92000.0,GONG GIBAB
0,Hot Tea,2.0,,44000.0,ICED TEA
0,Ice Kopi,1.0,,32000.0,ICED TEA
0,Tahu Telor Asin,1.0,,40000.0,Original Hugarian 
0,Free Ice Tea,1.0,,0.0,ICED TEA
0,Bebek Street,1.0,,44000.0,6001-Plastic Bag S
0,Ice Tea Tawar,1.0,,18000.0,ICED TEA
1,SPGTHY BOLOGNASE,1.0,,58000.0,autre
1,PEPPER AUS,1.0,,165000.0,autre
1,WAGYU RIBEYE,1.0,,195000.0,autre
1,ICED LEMON TEA,1.0,,22000.0,autre
1,FUSION TEA LYCHE,1.0,,28000.0,autre
1,NUTTELA BROWNIES,1.0,,35000.0,autre
2,HAKAU UDANG,4.0,,92000.0,autre
2,SIAO MAI BABI,4.0,,80000.0,autre
2,CEKER AYAM,3.0,,60000.0,autre
2,BAKPAO BKR C CRISPY,2.0,,42000.0,autre
2,TAHU GORENG CRISPY,3.0,,60000.0,autre
3,Bintang Bremer,1.0,,59000.0,autre
3,Chicken H-H,1.0,,190000.0,autre
3,Ades,1.0,,10000.0,autre
4,BASO BIHUN,1.0,43636.0,43636.0,autre
5,Lasagna,1.0,,45000.0,autre
5,Spaghetti ChickPesto,1.0,,55000.0,autre
5,BangBang Chick Wings,1.0,,49000.0,autre
5,Iced Cappuccino,1.0,,33000.0,autre
5,Gypsy Gelato Ice Tea,1.0,,39000.0,autre
